3EF8EXOTT28MOMO1VNY2Q2JRK2SJ1P,A1QCQE5XW37LN1,3UYRNV2KITCYWS1EJ3U790SWWJ3N8H,2014-10-07T10:52:33Z,2014-10-07T10:53:10Z,2014-10-07T11:57:15Z,1136,152
3YGXWBAF71UG87FE8D0I1WDZ62XC4L,A2PXPKUKK3E0CW,3UYRNV2KITCYWS1EJ3U790SWWJ3N8H,2014-10-07T13:06:14Z,2014-10-07T13:44:42Z,2014-10-07T14:47:14Z,1136,152
32SVAV9L3GM7XWZCOLZ8LWV5SZF3AO,A19PATBI3SQNU0,3UYRNV2KITCYWS1EJ3U790SWWJ3N8H,2014-10-07T13:07:14Z,2014-10-07T13:50:09Z,2014-10-07T14:52:15Z,1136,152
320DUZ38G8ZJS1E4D6J5XPNXMQZJGB,A31A4YKVSOYRVS,36818Z1KV3Q5BC1JYIU6WD0LHQD3AM,2014-10-07T00:11:19Z,2014-10-07T00:11:54Z,2014-10-07T01:12:16Z,1935,58
3WJ1OXY92BTTYT5I02U4CD3G8L58AJ,AV3CA0IYNRCCJ,36818Z1KV3Q5BC1JYIU6WD0LHQD3AM,2014-10-07T11:19:10Z,2014-10-07T11:19:59Z,2014-10-07T12:22:16Z,1935,58
3M23Y66PO3KAUB8OONJXDZ1VOWNS6E,A1QCQE5XW37LN1,36818Z1KV3Q5BC1JYIU6WD0LHQD3AM,2014-10-07T12:45:32Z,2014-10-07T12:46:48Z,2014-10-07T13:47:17Z,1935,58
3N1FSUEFL6DQDZLS89VTL2VHR294DD,A19PATBI3SQNU0,36818Z1KV3Q5BC1JYIU6WD0LHQD3AM,2014-10-07T13:06:46Z,2014-10-07T13:34:41Z,2014-10-07T14:37:15Z,1935,58
3I02618YA1JYJUIXSOD6Y0A04YOUPS,AV3CA0IYNRCCJ,3UUIU9GZC5ID4NNWI19G6FOXJBO5TY,2014-10-07T02:13:31Z,2014-10-07T02:15:14Z,2014-10-07T03:17:16Z,3077,47
3I02618YA1JYJUIXSOD6Y0A04YOUPS,AV3CA0IYNRCCJ,3UUIU9GZC5ID4NNWI19G6FOXJBO5TY,2014-10-07T02:13:31Z,2014-10-07T02:15:14Z,2014-10-07T03:17:16Z,1160,30
3KIBXJ1WD672VY1KJAWP3DWCS22OKG,A1QCQE5XW37LN1,3UUIU9GZC5ID4NNWI19G6FOXJBO5TY,2014-10-07T11:06:41Z,2014-10-07T11:07:32Z,2014-10-07T12:12:15Z,3077,47
3KIBXJ1WD672VY1KJAWP3DWCS22OKG,A1QCQE5XW37LN1,3UUIU9GZC5ID4NNWI19G6FOXJBO5TY,2014-10-07T11:06:41Z,2014-10-07T11:07:32Z,2014-10-07T12:12:15Z,1160,30
3U4J9857OFOUHP5RWB2UTORRFH77B9,A997OZ3H2B3Q2,3M0556243SX7B7B1RH0DJS9IJNGFNQ,2014-10-06T09:10:02Z,2014-10-06T09:14:20Z,2014-10-06T10:17:14Z,1625,53
